,result,iterations,task,objective,learning_rate,num_leaves,max_depth,min_data_in_leaf,min_sum_hessian_in_leaf,lambda_l1,lambda_l2,scale_pos_weight,metric,verbose
0,0.7764371152699155,145,train,binary,0.1,90,8,20,0.001,0.0,0.0,1.0,auc,-1
1,0.7765434842218446,153,train,binary,0.1,100,8,20,0.001,0.0,0.0,1.0,auc,-1
2,0.776966620267646,136,train,binary,0.1,80,8,20,0.001,0.0,0.0,1.0,auc,-1
3,0.7771494649296997,149,train,binary,0.1,70,8,20,0.001,0.0,0.0,1.0,auc,-1
4,0.7779441848174502,124,train,binary,0.1,60,8,20,0.001,0.0,0.0,1.0,auc,-1
5,0.7784089535802293,127,train,binary,0.1,50,8,20,0.001,0.0,0.0,1.0,auc,-1
6,0.7785372041066632,158,train,binary,0.1,30,8,20,0.001,0.0,0.0,1.0,auc,-1
7,0.778576637337858,165,train,binary,0.1,40,8,20,0.001,0.0,0.0,1.0,auc,-1
8,0.7789852522477526,202,train,binary,0.1,20,8,20,0.001,0.0,0.0,1.0,auc,-1
9,0.7796084831250306,317,train,binary,0.1,10,8,20,0.001,0.0,0.0,1.0,auc,-1
10,0.7795244846494332,386,train,binary,0.1,10,9,20,0.001,0.0,0.0,1.0,auc,-1
11,0.7796084831250306,317,train,binary,0.1,10,8,20,0.001,0.0,0.0,1.0,auc,-1
12,0.779615474998218,325,train,binary,0.1,10,7,20,0.001,0.0,0.0,1.0,auc,-1
13,0.7800493438864382,348,train,binary,0.1,10,5,20,0.001,0.0,0.0,1.0,auc,-1
14,0.7801859523407335,492,train,binary,0.1,10,6,20,0.001,0.0,0.0,1.0,auc,-1
15,0.7812568549682106,447,train,binary,0.1,10,4,20,0.001,0.0,0.0,1.0,auc,-1
16,0.7823921678365732,691,train,binary,0.1,10,3,20,0.001,0.0,0.0,1.0,auc,-1
17,0.7819270038288205,590,train,binary,0.1,10,3,30,0.001,0.0,0.0,1.0,auc,-1
18,0.7821836347535414,631,train,binary,0.1,10,3,40,0.001,0.0,0.0,1.0,auc,-1
19,0.7821992978424561,735,train,binary,0.1,10,3,10,0.001,0.0,0.0,1.0,auc,-1
20,0.7823921678365732,691,train,binary,0.1,10,3,20,0.001,0.0,0.0,1.0,auc,-1
21,0.7824694704627405,649,train,binary,0.1,10,3,80,0.001,0.0,0.0,1.0,auc,-1
22,0.7825166343344707,622,train,binary,0.1,10,3,50,0.001,0.0,0.0,1.0,auc,-1
23,0.782523844136161,648,train,binary,0.1,10,3,70,0.001,0.0,0.0,1.0,auc,-1
24,0.7829117226704916,764,train,binary,0.1,10,3,60,0.001,0.0,0.0,1.0,auc,-1
25,0.7825098575516773,713,train,binary,0.1,10,3,60,0.001,0.4,0.0,1.0,auc,-1
26,0.7826800872683595,688,train,binary,0.1,10,3,60,0.001,0.3,0.0,1.0,auc,-1
27,0.7827520269747422,705,train,binary,0.1,10,3,60,0.001,0.1,0.0,1.0,auc,-1
28,0.7828428829125167,753,train,binary,0.1,10,3,60,0.001,0.6,0.0,1.0,auc,-1
29,0.7829117226704916,764,train,binary,0.1,10,3,60,0.001,0.0,0.0,1.0,auc,-1
30,0.7830893454599044,755,train,binary,0.1,10,3,60,0.001,0.2,0.0,1.0,auc,-1
31,0.7831635795821477,813,train,binary,0.1,10,3,60,0.001,0.7,0.0,1.0,auc,-1
32,0.7833461999096892,857,train,binary,0.1,10,3,60,0.001,0.5,0.0,1.0,auc,-1
33,0.7827046065366341,662,train,binary,0.1,10,3,60,0.001,0.5,0.4,1.0,auc,-1
34,0.7827949016518516,742,train,binary,0.1,10,3,60,0.001,0.5,0.3,1.0,auc,-1
35,0.7831178177891722,769,train,binary,0.1,10,3,60,0.001,0.5,0.2,1.0,auc,-1
36,0.7831384320464685,743,train,binary,0.1,10,3,60,0.001,0.5,0.6,1.0,auc,-1
37,0.7831567192157013,784,train,binary,0.1,10,3,60,0.001,0.5,0.1,1.0,auc,-1
38,0.7832565092984034,673,train,binary,0.1,10,3,60,0.001,0.5,0.5,1.0,auc,-1
39,0.7833461999096892,857,train,binary,0.1,10,3,60,0.001,0.5,0.0,1.0,auc,-1
40,0.7834381891249154,792,train,binary,0.1,10,3,60,0.001,0.5,0.7,1.0,auc,-1
41,0.7814477140538227,624,train,binary,0.1,10,3,60,0.001,0.5,0.7,11.5,auc,-1
42,0.7834381891249154,792,train,binary,0.1,10,3,60,0.001,0.5,0.7,1.0,auc,-1
