,result,iterations,eta,gamma,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,scale_pos_weight,objective,eval_metric
0,0.7653403999999999,33,0.3,0.0,8,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
1,0.7684234,42,0.3,0.0,7,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
2,0.7695446,37,0.3,0.0,8,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
3,0.7699925999999999,43,0.3,0.0,8,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
4,0.7706218,37,0.3,0.0,7,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
5,0.7711168,47,0.3,0.0,8,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
6,0.7714942,49,0.3,0.0,8,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
7,0.7719658,50,0.3,0.0,6,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
8,0.7725606,54,0.3,0.0,7,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
9,0.7727114,47,0.3,0.0,8,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
10,0.772729,57,0.3,0.0,6,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
11,0.7729817999999999,54,0.3,0.0,8,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
12,0.7733082,50,0.3,0.0,7,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
13,0.7736208,54,0.3,0.0,7,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
14,0.773949,65,0.3,0.0,7,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
15,0.7743437999999999,78,0.3,0.0,5,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
16,0.7744202,60,0.3,0.0,7,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
17,0.7746168,98,0.3,0.0,5,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
18,0.7747298,64,0.3,0.0,6,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
19,0.7747996,61,0.3,0.0,6,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
20,0.7748193999999999,69,0.3,0.0,6,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
21,0.7757759999999999,95,0.3,0.0,5,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
22,0.7759178,81,0.3,0.0,5,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
23,0.7759356,74,0.3,0.0,6,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
24,0.7760088,56,0.3,0.0,6,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
25,0.776784,87,0.3,0.0,5,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
26,0.7770036,111,0.3,0.0,5,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
27,0.7771456000000001,115,0.3,0.0,4,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
28,0.7777924,95,0.3,0.0,5,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
29,0.7783523999999999,134,0.3,0.0,4,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
30,0.7784091999999999,141,0.3,0.0,4,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
31,0.7786071999999999,241,0.3,0.0,3,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
32,0.7787556,148,0.3,0.0,4,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
33,0.7787634000000001,113,0.3,0.0,4,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
34,0.779176,268,0.3,0.0,3,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
35,0.7791846,131,0.3,0.0,4,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
36,0.7792007999999999,146,0.3,0.0,4,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
37,0.7793142,254,0.3,0.0,3,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
38,0.7795911999999999,236,0.3,0.0,3,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
39,0.7799678,226,0.3,0.0,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
40,0.7799999999999999,237,0.3,0.0,3,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
41,0.7801168,289,0.3,0.0,3,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
42,0.7801168,289,0.3,0.0,3,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
43,0.7801168,289,0.3,0.1,3,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
44,0.7801168,289,0.3,0.2,3,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
45,0.7801168,289,0.3,0.3,3,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
46,0.7801168,289,0.3,0.4,3,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
47,0.7768125999999999,176,0.3,0.4,3,60,0.6,0.9,1,1.0,0.0,1.0,binary:logistic,auc
48,0.7769222,210,0.3,0.4,3,60,0.6,0.6,1,1.0,0.0,1.0,binary:logistic,auc
49,0.7776022,170,0.3,0.4,3,60,0.6,0.8,1,1.0,0.0,1.0,binary:logistic,auc
50,0.7778166,188,0.3,0.4,3,60,0.6,0.7,1,1.0,0.0,1.0,binary:logistic,auc
51,0.7778628000000001,196,0.3,0.4,3,60,0.7,0.7,1,1.0,0.0,1.0,binary:logistic,auc
52,0.7783005999999999,183,0.3,0.4,3,60,0.7,0.9,1,1.0,0.0,1.0,binary:logistic,auc
53,0.7783834000000001,227,0.3,0.4,3,60,0.7,0.8,1,1.0,0.0,1.0,binary:logistic,auc
54,0.778659,232,0.3,0.4,3,60,0.7,0.6,1,1.0,0.0,1.0,binary:logistic,auc
55,0.7790332,195,0.3,0.4,3,60,0.8,0.6,1,1.0,0.0,1.0,binary:logistic,auc
56,0.7790710000000001,239,0.3,0.4,3,60,0.8,0.7,1,1.0,0.0,1.0,binary:logistic,auc
57,0.7792058000000001,227,0.3,0.4,3,60,0.8,0.8,1,1.0,0.0,1.0,binary:logistic,auc
58,0.7793266000000001,205,0.3,0.4,3,60,0.9,0.9,1,1.0,0.0,1.0,binary:logistic,auc
59,0.7793292,245,0.3,0.4,3,60,0.8,0.9,1,1.0,0.0,1.0,binary:logistic,auc
60,0.779768,215,0.3,0.4,3,60,0.9,0.8,1,1.0,0.0,1.0,binary:logistic,auc
61,0.7800022,247,0.3,0.4,3,60,0.9,0.6,1,1.0,0.0,1.0,binary:logistic,auc
62,0.7800248,239,0.3,0.4,3,60,0.9,0.7,1,1.0,0.0,1.0,binary:logistic,auc
63,0.7794802000000001,206,0.3,0.4,3,60,0.9,0.7,1,0.3,0.0,1.0,binary:logistic,auc
64,0.7795897999999999,285,0.3,0.4,3,60,0.9,0.7,1,0.03,0.0,1.0,binary:logistic,auc
65,0.7796087999999999,206,0.3,0.4,3,60,0.9,0.7,1,0.01,0.0,1.0,binary:logistic,auc
66,0.7796758,218,0.3,0.4,3,60,0.9,0.7,1,0.1,0.0,1.0,binary:logistic,auc
67,0.7800248,239,0.3,0.4,3,60,0.9,0.7,1,1.0,0.0,1.0,binary:logistic,auc
68,0.7794656,202,0.3,0.4,3,60,0.9,0.7,1,1.0,1.0,1.0,binary:logistic,auc
69,0.779902,260,0.3,0.4,3,60,0.9,0.7,1,1.0,0.03,1.0,binary:logistic,auc
70,0.7799224,189,0.3,0.4,3,60,0.9,0.7,1,1.0,0.01,1.0,binary:logistic,auc
71,0.7799984,205,0.3,0.4,3,60,0.9,0.7,1,1.0,0.1,1.0,binary:logistic,auc
72,0.7802621999999999,285,0.3,0.4,3,60,0.9,0.7,1,1.0,0.3,1.0,binary:logistic,auc
73,0.7769598,216,0.3,0.4,3,60,0.9,0.7,1,1.0,0.3,11.5,binary:logistic,auc
74,0.7802621999999999,285,0.3,0.4,3,60,0.9,0.7,1,1.0,0.3,1.0,binary:logistic,auc
