,result,iterations,task,objective,learning_rate,num_leaves,max_depth,min_data_in_leaf,min_sum_hessian_in_leaf,lambda_l1,lambda_l2,scale_pos_weight,metric,verbose
40,0.7898681642,809,train,binary,0.1,10,3,70,0.001,0.7,0.6,1,auc,-1
42,0.7898681642,809,train,binary,0.1,10,3,70,0.001,0.7,0.6,1,auc,-1
48,0.7898681642,809,train,binary,0.1,10,3,70,0.001,0.7,0.6,1,auc,-1
39,0.789770177,757,train,binary,0.1,10,3,70,0.001,0.7,0.5,1,auc,-1
38,0.7896685433,727,train,binary,0.1,10,3,70,0.001,0.7,0.4,1,auc,-1
32,0.7896425776,866,train,binary,0.1,10,3,70,0.001,0.7,0,1,auc,-1
37,0.7896425776,866,train,binary,0.1,10,3,70,0.001,0.7,0,1,auc,-1
36,0.7896318983,783,train,binary,0.1,10,3,70,0.001,0.7,0.7,1,auc,-1
35,0.7895327765,727,train,binary,0.1,10,3,70,0.001,0.7,0.2,1,auc,-1
47,0.7895214543,820,train,binary,0.08,10,3,70,0.001,0.7,0.6,1,auc,-1
34,0.7894747592,677,train,binary,0.1,10,3,70,0.001,0.7,0.1,1,auc,-1
31,0.7894282619,845,train,binary,0.1,10,3,70,0.001,0.6,0,1,auc,-1
24,0.7893795473,737,train,binary,0.1,10,3,70,0.001,0,0,1,auc,-1
30,0.7893795473,737,train,binary,0.1,10,3,70,0.001,0,0,1,auc,-1
29,0.7893517601,795,train,binary,0.1,10,3,70,0.001,0.5,0,1,auc,-1
23,0.7892917998,786,train,binary,0.1,10,3,30,0.001,0,0,1,auc,-1
33,0.789274263,654,train,binary,0.1,10,3,70,0.001,0.7,0.3,1,auc,-1
28,0.7892102485,829,train,binary,0.1,10,3,70,0.001,0.1,0,1,auc,-1
27,0.7891871195,786,train,binary,0.1,10,3,70,0.001,0.4,0,1,auc,-1
26,0.7890977883,810,train,binary,0.1,10,3,70,0.001,0.2,0,1,auc,-1
22,0.7890875532,784,train,binary,0.1,10,3,50,0.001,0,0,1,auc,-1
21,0.7890439325,647,train,binary,0.1,10,3,80,0.001,0,0,1,auc,-1
16,0.7890078135,805,train,binary,0.1,10,3,20,0.001,0,0,1,auc,-1
20,0.7890078135,805,train,binary,0.1,10,3,20,0.001,0,0,1,auc,-1
25,0.788879321,720,train,binary,0.1,10,3,70,0.001,0.3,0,1,auc,-1
19,0.7888334522,833,train,binary,0.1,10,3,40,0.001,0,0,1,auc,-1
18,0.7888217736,625,train,binary,0.1,10,3,60,0.001,0,0,1,auc,-1
46,0.7888020479,1000,train,binary,0.05,10,3,70,0.001,0.7,0.6,1,auc,-1
17,0.7884353614,720,train,binary,0.1,10,3,10,0.001,0,0,1,auc,-1
15,0.7873645703,415,train,binary,0.1,10,4,20,0.001,0,0,1,auc,-1
41,0.7870648963,528,train,binary,0.1,10,3,70,0.001,0.7,0.6,11.5,auc,-1
14,0.7865363347,472,train,binary,0.1,10,5,20,0.001,0,0,1,auc,-1
13,0.7863243848,405,train,binary,0.1,10,7,20,0.001,0,0,1,auc,-1
12,0.786165086,449,train,binary,0.1,10,6,20,0.001,0,0,1,auc,-1
11,0.7860631269,591,train,binary,0.1,10,9,20,0.001,0,0,1,auc,-1
9,0.7858356023,400,train,binary,0.1,10,8,20,0.001,0,0,1,auc,-1
10,0.7858356023,400,train,binary,0.1,10,8,20,0.001,0,0,1,auc,-1
45,0.785692895,1000,train,binary,0.03,10,3,70,0.001,0.7,0.6,1,auc,-1
8,0.7849765868,170,train,binary,0.1,50,8,20,0.001,0,0,1,auc,-1
7,0.7848150148,245,train,binary,0.1,20,8,20,0.001,0,0,1,auc,-1
6,0.7843315052,160,train,binary,0.1,40,8,20,0.001,0,0,1,auc,-1
5,0.7841813958,155,train,binary,0.1,30,8,20,0.001,0,0,1,auc,-1
4,0.7836279627,152,train,binary,0.1,60,8,20,0.001,0,0,1,auc,-1
3,0.7835439981,153,train,binary,0.1,70,8,20,0.001,0,0,1,auc,-1
2,0.7827397405,148,train,binary,0.1,80,8,20,0.001,0,0,1,auc,-1
1,0.7823801509,145,train,binary,0.1,100,8,20,0.001,0,0,1,auc,-1
44,0.7821011928,1000,train,binary,0.02,10,3,70,0.001,0.7,0.6,1,auc,-1
0,0.781318308,144,train,binary,0.1,90,8,20,0.001,0,0,1,auc,-1
43,0.7735087949,1000,train,binary,0.01,10,3,70,0.001,0.7,0.6,1,auc,-1
,0.7898681642,809,train,binary,0.1,10,3,70,0.001,0.7,0.6,1,auc,-1
,0.7898681642,809,train,binary,0.1,10,3,70,0.001,0.7,0.6,1,auc,-1
,0.789770177,757,train,binary,0.1,10,3,70,0.001,0.7,0.5,1,auc,-1
,0.7896685433,727,train,binary,0.1,10,3,70,0.001,0.7,0.4,1,auc,-1
,0.7896425776,866,train,binary,0.1,10,3,70,0.001,0.7,0,1,auc,-1
,0.7896425776,866,train,binary,0.1,10,3,70,0.001,0.7,0,1,auc,-1
,0.7896318983,783,train,binary,0.1,10,3,70,0.001,0.7,0.7,1,auc,-1
,0.7895327765,727,train,binary,0.1,10,3,70,0.001,0.7,0.2,1,auc,-1
,0.7894747592,677,train,binary,0.1,10,3,70,0.001,0.7,0.1,1,auc,-1
,0.7894282619,845,train,binary,0.1,10,3,70,0.001,0.6,0,1,auc,-1
,0.7893795473,737,train,binary,0.1,10,3,70,0.001,0,0,1,auc,-1
,0.7893795473,737,train,binary,0.1,10,3,70,0.001,0,0,1,auc,-1
,0.7893517601,795,train,binary,0.1,10,3,70,0.001,0.5,0,1,auc,-1
,0.7892917998,786,train,binary,0.1,10,3,30,0.001,0,0,1,auc,-1
,0.789274263,654,train,binary,0.1,10,3,70,0.001,0.7,0.3,1,auc,-1
,0.7892102485,829,train,binary,0.1,10,3,70,0.001,0.1,0,1,auc,-1
,0.7891871195,786,train,binary,0.1,10,3,70,0.001,0.4,0,1,auc,-1
,0.7890977883,810,train,binary,0.1,10,3,70,0.001,0.2,0,1,auc,-1
,0.7890875532,784,train,binary,0.1,10,3,50,0.001,0,0,1,auc,-1
,0.7890439325,647,train,binary,0.1,10,3,80,0.001,0,0,1,auc,-1
,0.7890078135,805,train,binary,0.1,10,3,20,0.001,0,0,1,auc,-1
,0.7890078135,805,train,binary,0.1,10,3,20,0.001,0,0,1,auc,-1
,0.788879321,720,train,binary,0.1,10,3,70,0.001,0.3,0,1,auc,-1
,0.7888334522,833,train,binary,0.1,10,3,40,0.001,0,0,1,auc,-1
,0.7888217736,625,train,binary,0.1,10,3,60,0.001,0,0,1,auc,-1
,0.7884353614,720,train,binary,0.1,10,3,10,0.001,0,0,1,auc,-1
,0.7873645703,415,train,binary,0.1,10,4,20,0.001,0,0,1,auc,-1
,0.7870648963,528,train,binary,0.1,10,3,70,0.001,0.7,0.6,11.5,auc,-1
,0.7865363347,472,train,binary,0.1,10,5,20,0.001,0,0,1,auc,-1
,0.7863243848,405,train,binary,0.1,10,7,20,0.001,0,0,1,auc,-1
,0.786165086,449,train,binary,0.1,10,6,20,0.001,0,0,1,auc,-1
,0.7860631269,591,train,binary,0.1,10,9,20,0.001,0,0,1,auc,-1
,0.7858356023,400,train,binary,0.1,10,8,20,0.001,0,0,1,auc,-1
,0.7858356023,400,train,binary,0.1,10,8,20,0.001,0,0,1,auc,-1
,0.7849765868,170,train,binary,0.1,50,8,20,0.001,0,0,1,auc,-1
,0.7848150148,245,train,binary,0.1,20,8,20,0.001,0,0,1,auc,-1
,0.7843315052,160,train,binary,0.1,40,8,20,0.001,0,0,1,auc,-1
