,result,iterations,eta,gamma,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,scale_pos_weight,objective,eval_metric
0,0.7717482,45,0.3,0.0,8,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
1,0.7735724,35,0.3,0.0,8,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
2,0.775542,41,0.3,0.0,8,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
3,0.7756344000000001,46,0.3,0.0,7,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
4,0.7758264,53,0.3,0.0,8,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
5,0.7773152,68,0.3,0.0,7,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
6,0.7775730000000001,60,0.3,0.0,8,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
7,0.777613,54,0.3,0.0,7,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
8,0.777922,55,0.3,0.0,8,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
9,0.7781895999999999,71,0.3,0.0,7,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
10,0.7782698,60,0.3,0.0,7,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
11,0.7784902,54,0.3,0.0,8,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
12,0.7786451999999999,61,0.3,0.0,7,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
13,0.7791724,71,0.3,0.0,6,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
14,0.7796398,67,0.3,0.0,7,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
15,0.7799216,68,0.3,0.0,6,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
16,0.7799862,61,0.3,0.0,6,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
17,0.7801928000000001,60,0.3,0.0,6,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
18,0.7802441999999999,73,0.3,0.0,6,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
19,0.7812709999999999,100,0.3,0.0,5,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
20,0.7813353999999999,85,0.3,0.0,6,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
21,0.7814270000000001,93,0.3,0.0,6,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
22,0.7818221999999999,98,0.3,0.0,5,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
23,0.7818403999999999,92,0.3,0.0,5,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
24,0.7819054,87,0.3,0.0,5,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
25,0.7826044000000001,97,0.3,0.0,5,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
26,0.7826596,83,0.3,0.0,5,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
27,0.7834702,107,0.3,0.0,5,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
28,0.7838072,107,0.3,0.0,4,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
29,0.7839482,128,0.3,0.0,4,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
30,0.7840109999999999,111,0.3,0.0,4,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
31,0.784078,137,0.3,0.0,4,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
32,0.784465,144,0.3,0.0,4,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
33,0.7845825999999999,127,0.3,0.0,4,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
34,0.7846222,115,0.3,0.0,4,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
35,0.785064,164,0.3,0.0,3,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
36,0.7855236,170,0.3,0.0,3,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
37,0.7855622,172,0.3,0.0,3,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
38,0.785782,159,0.3,0.0,3,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
39,0.7863468,201,0.3,0.0,3,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
40,0.7865358,233,0.3,0.0,3,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
41,0.7868598,275,0.3,0.0,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
42,0.7868598,275,0.3,0.0,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
43,0.7868598,275,0.3,0.1,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
44,0.7868598,275,0.3,0.2,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
45,0.7868598,275,0.3,0.3,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
46,0.7868598,275,0.3,0.4,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
47,0.7819824000000001,139,0.3,0.4,3,70,0.6,0.9,1,1.0,0.0,1.0,binary:logistic,auc
48,0.7827534,170,0.3,0.4,3,70,0.6,0.7,1,1.0,0.0,1.0,binary:logistic,auc
49,0.7827586,155,0.3,0.4,3,70,0.6,0.8,1,1.0,0.0,1.0,binary:logistic,auc
50,0.7827992,161,0.3,0.4,3,70,0.6,0.6,1,1.0,0.0,1.0,binary:logistic,auc
51,0.7835774000000001,207,0.3,0.4,3,70,0.7,0.6,1,1.0,0.0,1.0,binary:logistic,auc
52,0.7839668,158,0.3,0.4,3,70,0.8,0.6,1,1.0,0.0,1.0,binary:logistic,auc
53,0.7841366000000001,199,0.3,0.4,3,70,0.7,0.7,1,1.0,0.0,1.0,binary:logistic,auc
54,0.7841636000000001,166,0.3,0.4,3,70,0.7,0.9,1,1.0,0.0,1.0,binary:logistic,auc
55,0.784379,214,0.3,0.4,3,70,0.7,0.8,1,1.0,0.0,1.0,binary:logistic,auc
56,0.7853038,220,0.3,0.4,3,70,0.8,0.8,1,1.0,0.0,1.0,binary:logistic,auc
57,0.7853706,188,0.3,0.4,3,70,0.8,0.9,1,1.0,0.0,1.0,binary:logistic,auc
58,0.7854882,224,0.3,0.4,3,70,0.9,0.7,1,1.0,0.0,1.0,binary:logistic,auc
59,0.7855216,217,0.3,0.4,3,70,0.8,0.7,1,1.0,0.0,1.0,binary:logistic,auc
60,0.7857564,204,0.3,0.4,3,70,0.9,0.9,1,1.0,0.0,1.0,binary:logistic,auc
61,0.7858172,215,0.3,0.4,3,70,0.9,0.8,1,1.0,0.0,1.0,binary:logistic,auc
62,0.7861450000000001,228,0.3,0.4,3,70,0.9,0.6,1,1.0,0.0,1.0,binary:logistic,auc
63,0.7849,212,0.3,0.4,3,70,0.9,0.6,1,0.1,0.0,1.0,binary:logistic,auc
64,0.7853232,217,0.3,0.4,3,70,0.9,0.6,1,0.03,0.0,1.0,binary:logistic,auc
65,0.7853284,229,0.3,0.4,3,70,0.9,0.6,1,0.01,0.0,1.0,binary:logistic,auc
66,0.7857592,220,0.3,0.4,3,70,0.9,0.6,1,0.3,0.0,1.0,binary:logistic,auc
67,0.7861450000000001,228,0.3,0.4,3,70,0.9,0.6,1,1.0,0.0,1.0,binary:logistic,auc
68,0.7848814,177,0.3,0.4,3,70,0.9,0.6,1,1.0,1.0,1.0,binary:logistic,auc
69,0.7856211999999999,213,0.3,0.4,3,70,0.9,0.6,1,1.0,0.1,1.0,binary:logistic,auc
70,0.7858466,207,0.3,0.4,3,70,0.9,0.6,1,1.0,0.01,1.0,binary:logistic,auc
71,0.7858678,206,0.3,0.4,3,70,0.9,0.6,1,1.0,0.03,1.0,binary:logistic,auc
72,0.7861276,207,0.3,0.4,3,70,0.9,0.6,1,1.0,0.3,1.0,binary:logistic,auc
