,result,iterations,eta,gamma,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,scale_pos_weight,objective,eval_metric
0,0.7548698,33,0.3,0.0,8,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
1,0.7567666,36,0.3,0.0,8,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
2,0.7572336000000001,40,0.3,0.0,7,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
3,0.7575144,39,0.3,0.0,8,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
4,0.7582338,36,0.3,0.0,8,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
5,0.7584362,47,0.3,0.0,8,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
6,0.7586786,39,0.3,0.0,7,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
7,0.7587084000000001,48,0.3,0.0,7,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
8,0.7590437999999999,35,0.3,0.0,8,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
9,0.7591514,50,0.3,0.0,6,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
10,0.7598256,43,0.3,0.0,7,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
11,0.7598478,46,0.3,0.0,7,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
12,0.7600800000000001,53,0.3,0.0,8,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
13,0.7604048000000001,72,0.3,0.0,5,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
14,0.7605876,48,0.3,0.0,7,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
15,0.7606506000000001,53,0.3,0.0,6,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
16,0.7609492,56,0.3,0.0,6,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc
