,result,iterations,eta,gamma,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,scale_pos_weight,objective,eval_metric,silent
0,0.760785,32,0.3,0.0,8,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
1,0.7633367999999999,38,0.3,0.0,8,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
2,0.7637924,52,0.3,0.0,7,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
3,0.7655187999999999,37,0.3,0.0,8,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
4,0.765568,48,0.3,0.0,8,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
5,0.766008,66,0.3,0.0,6,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
6,0.766082,48,0.3,0.0,7,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
7,0.7662006,47,0.3,0.0,7,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
8,0.7666459999999999,36,0.3,0.0,8,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
9,0.7671426,56,0.3,0.0,7,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
10,0.7672704,42,0.3,0.0,8,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
11,0.7675352,55,0.3,0.0,7,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
12,0.7676572,66,0.3,0.0,6,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
13,0.7680306000000001,48,0.3,0.0,8,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
14,0.7680474,60,0.3,0.0,6,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
15,0.7686304,55,0.3,0.0,7,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
16,0.768859,100,0.3,0.0,5,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
17,0.7690214,75,0.3,0.0,6,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
18,0.7690802,81,0.3,0.0,5,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
19,0.7690994,52,0.3,0.0,7,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
20,0.76941,70,0.3,0.0,6,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
21,0.7697019999999999,80,0.3,0.0,6,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
22,0.7698752,92,0.3,0.0,5,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
23,0.7699338000000001,82,0.3,0.0,5,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
24,0.7699715999999999,59,0.3,0.0,6,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
25,0.7702438,90,0.3,0.0,5,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
26,0.7716111999999999,98,0.3,0.0,5,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
27,0.7717547999999999,99,0.3,0.0,5,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
28,0.7719229999999999,109,0.3,0.0,4,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
29,0.7719438000000001,130,0.3,0.0,4,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
30,0.7720444,124,0.3,0.0,4,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
31,0.7722518,141,0.3,0.0,4,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
32,0.7724260000000001,127,0.3,0.0,4,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
33,0.7724804,164,0.3,0.0,4,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
34,0.7725162,111,0.3,0.0,4,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
35,0.7725401999999999,153,0.3,0.0,3,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
36,0.7733334,215,0.3,0.0,3,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
37,0.7734156,171,0.3,0.0,3,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
38,0.7734314,183,0.3,0.0,3,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
39,0.7734514,228,0.3,0.0,3,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
40,0.7740838,246,0.3,0.0,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
41,0.7740912,220,0.3,0.0,3,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
42,0.7740912,220,0.3,0.0,3,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
43,0.7740912,220,0.3,0.1,3,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
44,0.7740912,220,0.3,0.2,3,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
45,0.7740912,220,0.3,0.3,3,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
46,0.7740912,220,0.3,0.4,3,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
47,0.7702674,159,0.3,0.4,3,30,0.6,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
48,0.7708235999999999,150,0.3,0.4,3,30,0.6,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
49,0.7714782,159,0.3,0.4,3,30,0.6,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
50,0.7715563999999999,165,0.3,0.4,3,30,0.7,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
51,0.7716244,196,0.3,0.4,3,30,0.6,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
52,0.7720491999999999,172,0.3,0.4,3,30,0.7,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
53,0.7721634,166,0.3,0.4,3,30,0.7,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
54,0.772207,159,0.3,0.4,3,30,0.7,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
55,0.7724176,170,0.3,0.4,3,30,0.8,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
56,0.7724996000000002,174,0.3,0.4,3,30,0.8,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
57,0.7725678,199,0.3,0.4,3,30,0.8,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
58,0.7725928,213,0.3,0.4,3,30,0.9,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
59,0.7730318,209,0.3,0.4,3,30,0.9,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
60,0.7730352,175,0.3,0.4,3,30,0.8,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
61,0.7734526,189,0.3,0.4,3,30,0.9,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
62,0.7736643999999999,202,0.3,0.4,3,30,0.9,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
63,0.7726088000000001,154,0.3,0.4,3,30,0.9,0.9,1,0.01,0.0,1.0,binary:logistic,auc,1
64,0.772852,160,0.3,0.4,3,30,0.9,0.9,1,0.03,0.0,1.0,binary:logistic,auc,1
65,0.7731332,197,0.3,0.4,3,30,0.9,0.9,1,0.3,0.0,1.0,binary:logistic,auc,1
66,0.7733812,203,0.3,0.4,3,30,0.9,0.9,1,0.1,0.0,1.0,binary:logistic,auc,1
