,result,iterations,eta,gamma,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,scale_pos_weight,objective,eval_metric,silent
0,0.7541936,39,0.3,0.0,8,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
1,0.7571352,42,0.3,0.0,8,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
2,0.7572144,47,0.3,0.0,7,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
3,0.7572282,33,0.3,0.0,8,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
4,0.7579809999999999,34,0.3,0.0,8,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
5,0.7584866,40,0.3,0.0,8,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
6,0.7585171999999999,48,0.3,0.0,7,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
7,0.7586304,50,0.3,0.0,6,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
8,0.7586658000000001,44,0.3,0.0,7,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
9,0.7589969999999999,39,0.3,0.0,8,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
10,0.759962,50,0.3,0.0,7,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
11,0.7600613999999999,45,0.3,0.0,8,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
12,0.7601458000000001,48,0.3,0.0,7,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
13,0.7603822,58,0.3,0.0,7,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
14,0.7605918,47,0.3,0.0,6,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
15,0.7606817999999999,56,0.3,0.0,7,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
16,0.760736,61,0.3,0.0,6,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
17,0.7608368000000001,59,0.3,0.0,6,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
18,0.7614564000000001,74,0.3,0.0,6,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
19,0.7614616,71,0.3,0.0,5,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
20,0.7615376,61,0.3,0.0,6,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
21,0.7618322000000001,78,0.3,0.0,5,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
22,0.7620742,82,0.3,0.0,5,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
23,0.7621983999999999,88,0.3,0.0,6,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
24,0.7622848,82,0.3,0.0,5,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
25,0.7628534,97,0.3,0.0,5,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
26,0.7631494,110,0.3,0.0,5,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
27,0.7631982,97,0.3,0.0,5,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
28,0.7632985999999999,116,0.3,0.0,4,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
29,0.7635221999999999,127,0.3,0.0,4,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
30,0.7636455999999999,109,0.3,0.0,4,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
31,0.7638176,136,0.3,0.0,4,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
32,0.7639856,114,0.3,0.0,4,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
33,0.7641272000000001,131,0.3,0.0,4,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
34,0.7641598000000001,148,0.3,0.0,4,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
35,0.7644154000000001,165,0.3,0.0,3,20,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
36,0.7647164,202,0.3,0.0,3,10,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
37,0.7647172,163,0.3,0.0,3,40,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
38,0.7649608,203,0.3,0.0,3,50,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
39,0.7650626,193,0.3,0.0,3,30,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
40,0.7653886,214,0.3,0.0,3,60,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
41,0.765741,202,0.3,0.0,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
42,0.765741,202,0.3,0.0,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
43,0.765741,202,0.3,0.1,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
44,0.765741,202,0.3,0.2,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
45,0.765741,202,0.3,0.3,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
46,0.765741,202,0.3,0.4,3,70,1.0,1.0,1,1.0,0.0,1.0,binary:logistic,auc,1
47,0.7629021999999999,119,0.3,0.4,3,70,0.6,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
48,0.7630594,172,0.3,0.4,3,70,0.6,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
49,0.7633674,186,0.3,0.4,3,70,0.6,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
50,0.7636626,182,0.3,0.4,3,70,0.8,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
51,0.7637194,158,0.3,0.4,3,70,0.7,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
52,0.7639728,151,0.3,0.4,3,70,0.7,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
53,0.7641990000000001,155,0.3,0.4,3,70,0.6,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
54,0.7642194000000001,187,0.3,0.4,3,70,0.9,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
55,0.7642264000000001,181,0.3,0.4,3,70,0.9,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
56,0.7642325999999999,151,0.3,0.4,3,70,0.7,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
57,0.7642845999999999,204,0.3,0.4,3,70,0.8,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
